96;JAMAICA;35.0;2016
97;MACAU;35.0;2013
98;VIETNAM;34.8;2014
99;ESTONIA;34.8;2015
100;CYPRUS;34.8;2014 EST.
101;WEST BANK;34.5;2009 EST.
102;LATVIA;34.5;2015
103;SIERRA LEONE;34.0;2011
104;NIGER;34.0;2014
105;MONGOLIA;34.0;2017
106;GREENLAND;33.9;2015 EST.
107;PORTUGAL;33.9;2015 EST.
108;BOSNIA AND HERZEGOVINA;33.8;2011
109;AZERBAIJAN;33.7;2008
110;MACEDONIA;33.7;2015
111;TAIWAN;33.6;2014
112;KYRGYZSTAN;33.4;2007
113;ETHIOPIA;33.0;2011
114;NEPAL;32.8;2010
115;TAJIKISTAN;32.6;2006
116;UNITED KINGDOM;32.4;2012
116;UK;32.4;2012
117;CANADA;32.1;2005
118;BANGLADESH;32.1;2010
119;LIBERIA;32.0;2014
120;MONTENEGRO;31.9;2014 EST.
121;ITALY;31.9;2012 EST.
122;TIMOR-LESTE;31.9;2007 EST.
123;EGYPT;31.8;2015
124;ARMENIA;31.5;2014
125;IRELAND;31.3;2013 EST.
126;POLAND;30.8;2015
127;EUROPEAN UNION;30.8;2016 EST.
128;SAO TOME AND PRINCIPE;30.8;2010 EST.
129;CROATIA;30.8;2015 EST.
130;PAKISTAN;30.7;FY2013
131;AUSTRIA;30.5;2015
132;LUXEMBOURG;30.4;2013 EST.
133;NETHERLANDS;30.3;2015 EST.
134;AUSTRALIA;30.3;2008
135;SWITZERLAND;29.5;2014 EST.
136;FRANCE;29.3;2016
137;DENMARK;29.0;2016 EST.
138;ALBANIA;29.0;2012 EST.
139;HUNGARY;28.2;2015 EST.
140;MALTA;28.1;2015
141;ICELAND;28.0;2006
142;ROMANIA;27.3;2012
143;FINLAND;27.2;2016
144;GERMANY;27.0;2006
145;MOLDOVA;26.8;2015 EST.
146;NORWAY;26.8;2010
147;BELARUS;26.5;2011
148;KAZAKHSTAN;26.3;2013
149;BELGIUM;25.9;2013 EST.
150;UKRAINE;25.5;2015
151;CZECHIA;25.0;2015
152;SWEDEN;24.9;2013
153;SLOVENIA;24.4;2016
154;SLOVAKIA;23.7;2015
155;KOSOVO;23.2;2015 EST.
156;FAROE ISLANDS;22.7;2013 EST.
